"Week","christmas","amazon","rakhi","diwali","country"
2018-07-08,0,21,1,1,"India"
2018-07-15,0,25,2,1,"India"
2018-07-22,0,20,2,1,"India"
2018-07-29,0,19,3,1,"India"
2018-08-05,0,24,4,1,"India"
2018-08-12,0,22,4,1,"India"
2018-08-19,0,20,12,1,"India"
2018-08-26,1,19,9,1,"India"
2018-09-02,1,19,1,2,"India"
2018-09-09,1,18,1,2,"India"
2018-09-16,1,17,1,2,"India"
2018-09-23,1,17,2,2,"India"
2018-09-30,1,19,2,3,"India"
2018-10-07,1,33,1,4,"India"
2018-10-14,1,27,2,5,"India"
2018-10-21,1,27,2,9,"India"
2018-10-28,1,26,2,16,"India"
2018-11-04,1,23,2,69,"India"
2018-11-11,1,19,2,4,"India"
2018-11-18,2,19,2,2,"India"
2018-11-25,3,19,2,1,"India"
2018-12-02,5,18,2,1,"India"
2018-12-09,6,17,1,1,"India"
2018-12-16,11,19,1,1,"India"
2018-12-23,29,20,1,1,"India"
2018-12-30,2,18,1,1,"India"
2019-01-06,1,20,1,1,"India"
2019-01-13,1,21,1,1,"India"
2019-01-20,1,24,1,1,"India"
2019-01-27,1,20,1,1,"India"
2019-02-03,1,20,1,1,"India"
2019-02-10,1,19,1,1,"India"
2019-02-17,1,19,1,1,"India"
2019-02-24,1,18,1,1,"India"
2019-03-03,1,19,1,1,"India"
2019-03-10,1,18,1,1,"India"
2019-03-17,1,19,1,1,"India"
2019-03-24,0,19,1,1,"India"
2019-03-31,0,19,1,1,"India"
2019-04-07,0,19,1,1,"India"
2019-04-14,0,18,1,1,"India"
2019-04-21,0,18,1,1,"India"
2019-04-28,0,20,1,1,"India"
2019-05-05,0,20,1,1,"India"
2019-05-12,0,21,1,1,"India"
2019-05-19,0,18,1,1,"India"
2019-05-26,0,19,1,1,"India"
2019-06-02,0,19,1,1,"India"
2019-06-09,0,19,1,1,"India"
2019-06-16,0,19,1,1,"India"
2019-06-23,0,19,1,1,"India"
2019-06-30,0,19,1,1,"India"
2019-07-07,0,20,1,1,"India"
2019-07-14,0,23,2,1,"India"
2019-07-21,0,21,2,1,"India"
2019-07-28,0,20,4,1,"India"
2019-08-04,0,23,6,1,"India"
2019-08-11,0,23,13,2,"India"
2019-08-18,0,27,2,2,"India"
2019-08-25,0,23,1,2,"India"
2019-09-01,0,20,1,2,"India"
